Company Name,Industry,Symbol,Series
Onward Technologies Ltd,IT - Software,ONWARDTEC,EQ
Optiemus Infracom Ltd,Telecom-Handsets/Mobile,OPTIEMUS,EQ
Orbit Exports Ltd,Textiles,ORBTEXP,EQ
Orchid Pharma Ltd,Pharmaceuticals,ORCHPHARMA,EQ
Oricon Enterprises Ltd,Packaging,ORICONENT,EQ
Orient Bell Ltd,Ceramic Products,ORIENTBELL,EQ
Orient Cement Ltd,Cement,ORIENTCEM,EQ
Orient Ceratech Ltd,Refractories,ORIENTCER,EQ
Orient Electric Ltd,Consumer Durables,ORIENTELEC,EQ
Oriental Hotels Ltd,Hotels & Restaurants,ORIENTHOT,EQ
Orient Paper & Industries Ltd,Paper,ORIENTPPR,EQ
Orient Technologies Ltd,IT - Software,ORIENTTECH,EQ
Orissa Minerals Development Company Ltd,Mining & Mineral products,ORISSAMINE,EQ
Orkla India Ltd,FMCG,ORKLAINDIA,EQ
Oswal Agro Mills Ltd,Trading,OSWALAGRO,EQ
Oswal Green Tech Ltd,Diversified,OSWALGREEN,EQ
Oswal Pumps Ltd,Capital Goods-Non Electrical Equipment,OSWALPUMPS,EQ
Pace Digitek Ltd,Telecom Equipment & Infra Services,PACEDIGITK,EQ
Page Industries Ltd,Readymade Garments/ Apparells,PAGEIND,EQ
Pakka Ltd,Paper,PAKKA,EQ
Palash Securities Ltd,Finance,PALASHSECU,EQ
Palred Technologies Ltd,Trading,PALREDTEC,EQ
Panacea Biotec Ltd,Pharmaceuticals,PANACEABIO,EQ
Panache Digilife Ltd,IT - Hardware,PANACHE,EQ
Panama Petrochem Ltd,Petrochemicals,PANAMAPET,EQ
Pansari Developers Ltd,Construction,PANSARI,EQ
Par Drugs & Chemicals Ltd,Pharmaceuticals,PAR,EQ
Paramount Communications Ltd,Cables,PARACABLES,EQ
Paradeep Phosphates Ltd,Fertilizers,PARADEEP,EQ
Parag Milk Foods Ltd,FMCG,PARAGMILK,EQ
Paras Defence and Space Technologies Ltd,Aerospace & Defence,PARAS,EQ
Park Medi World Ltd,Healthcare,PARKHOSPS,EQ
Apeejay Surrendra Park Hotels Ltd,Hotels & Restaurants,PARKHOTELS,EQ
Pashupati Cotspin Ltd,Textiles,PASHUPATI,EQ
Pasupati Acrylon Ltd,Textiles,PASUPTAC,EQ
Patanjali Foods Ltd,FMCG,PATANJALI,EQ
Patel Engineering Ltd,Infrastructure Developers & Operators,PATELENG,EQ
Patel Retail Ltd,Retail,PATELRMART,EQ
Paushak Ltd,Chemicals,PAUSHAKLTD,EQ
Pavna Industries Ltd,Auto Ancillaries,PAVNAIND,EQ
One 97 Communications Ltd,E-Commerce/App based Aggregator,PAYTM,EQ
PCBL Chemical Ltd,Chemicals,PCBL,EQ
PC Jeweller Ltd,"Diamond, Gems and Jewellery",PCJEWELLER,EQ
Pudumjee Paper Products Ltd,Paper,PDMJEPAPER,EQ
PDS Ltd,Textiles,PDSL,EQ
Pennar Industries Ltd,Steel,PENIND,EQ
Peninsula Land Ltd,Realty,PENINLAND,EQ
Persistent Systems Ltd,IT - Software,PERSISTENT,EQ
Petronet LNG Ltd,Gas Distribution,PETRONET,EQ
Pfizer Ltd,Pharmaceuticals,PFIZER,EQ
Prime Focus Ltd,Realty,PFOCUS,EQ
PG Electroplast Ltd,Consumer Durables,PGEL,EQ
Procter & Gamble Hygiene and Health Care Ltd,FMCG,PGHH,EQ
