Date,Symbols,Above_MA_30W,Symbols_MA_10W,Above_MA_10W,Pct_Above_MA_30W,Pct_Above_MA_10W,Benchmark_Close,Benchmark_Ticker
2026-04-22,1500,663,1504,1293,44.2,85.97074468085107,22991.5,^CRSLDX
2026-04-23,1500,649,1504,1279,43.266666666666666,85.03989361702128,22810.849609375,^CRSLDX
2026-04-24,1500,585,1504,1180,39.0,78.45744680851064,22570.05078125,^CRSLDX
2026-04-27,1500,681,1504,1294,45.4,86.0372340425532,22821.400390625,^CRSLDX
2026-04-28,1500,685,1504,1274,45.666666666666664,84.70744680851064,22765.599609375,^CRSLDX
2026-04-29,1500,677,1504,1278,45.13333333333333,84.97340425531915,22871.0,^CRSLDX
2026-04-30,1500,660,1504,1238,44.0,82.31382978723404,22683.55078125,^CRSLDX
2026-05-01,992,461,995,823,46.471774193548384,82.71356783919597,,^CRSLDX
2026-05-04,1500,717,1504,1294,47.8,86.0372340425532,22830.75,^CRSLDX
2026-05-05,1500,733,1504,1282,48.86666666666667,85.23936170212765,22808.25,^CRSLDX
2026-05-06,1500,798,1504,1369,53.2,91.02393617021278,23133.400390625,^CRSLDX
2026-05-07,1500,859,1504,1393,57.266666666666666,92.61968085106383,23214.0,^CRSLDX
2026-05-08,1500,878,1504,1371,58.53333333333334,91.15691489361703,23115.650390625,^CRSLDX
2026-05-11,1500,800,1504,1312,53.333333333333336,87.2340425531915,22795.75,^CRSLDX
2026-05-12,1501,667,1504,1148,44.437041972018655,76.32978723404256,22299.900390625,^CRSLDX
2026-05-13,1501,692,1504,1161,46.102598267821456,77.19414893617021,22377.349609375,^CRSLDX
2026-05-14,1502,691,1504,1161,46.00532623169108,77.19414893617021,22613.099609375,^CRSLDX
2026-05-15,1502,674,1504,1096,44.87350199733689,72.87234042553192,22531.150390625,^CRSLDX
2026-05-18,1502,626,1504,974,41.67776298268975,64.76063829787235,22461.05078125,^CRSLDX
2026-05-19,1502,676,1504,1041,45.00665778961385,69.2154255319149,22521.75,^CRSLDX
2026-05-20,1502,674,1504,1037,44.87350199733689,68.94946808510637,22578.150390625,^CRSLDX
2026-05-21,1502,704,1504,1067,46.870838881491345,70.94414893617021,22602.849609375,^CRSLDX
